"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan editor post test","Editor should be able to POST","SUCCESS","2023-04-26T23:06:37.5892466+03:00[Asia/Istanbul]","0.0","39.06"
"Spartan editor post test","New Spartan 1 - name","SUCCESS","2023-04-26T23:07:17.6985687+03:00[Asia/Istanbul]","0.0","2.04"
"Spartan editor post test","New Spartan 3 - name","SUCCESS","2023-04-26T23:07:22.3970814+03:00[Asia/Istanbul]","0.0","1.55"
"Spartan editor post test","New Spartan 4 - name","SUCCESS","2023-04-26T23:07:23.952051+03:00[Asia/Istanbul]","0.0","1.42"
"Spartan editor post test","New Spartan 5 - name","SUCCESS","2023-04-26T23:07:25.3860477+03:00[Asia/Istanbul]","0.0","1.49"
"Spartan editor post test","New Spartan 6 - name","SUCCESS","2023-04-26T23:07:26.8890593+03:00[Asia/Istanbul]","0.0","1.15"
"Spartan editor post test","New Spartan 9 - name","SUCCESS","2023-04-26T23:07:30.9760435+03:00[Asia/Istanbul]","0.0","1.26"
"Spartan editor post test","New Spartan 10 - name","SUCCESS","2023-04-26T23:07:32.2379986+03:00[Asia/Istanbul]","0.0","2.32"
